Index,Area,L,Sc,N,HL,HS,k,d,I,UL,UM,UH,UF
1,1.87828,2.26028,0.0005,0.03,0.90004,0.00398,0.33752,-0.47605,0.0,0.0,0.0,0.0,0.0
2,1.76793,2.48184,0.0038,0.03,0.34383,0.01493,0,0,0.0,0.0,0.0,0.0,0.0
3,0.8704,2.12664,0.01208,0.03,0.29078,0.02666,0.5086,-0.91208,0.0,0.0,0.0,0.0,0.0
4,2.01128,2.45548,0.01064,0.03,0.52593,0.01762,0.65741,-1.40462,0.0,0.0,0.0,0.0,0.0
5,0.738,1.60152,0.00245,0.03,0.33374,0.02139,0.494,-1.13838,0.0,0.0,0.0,0.0,0.0
6,0.9659,1.97921,0.00842,0.03,0.2769,0.01708,0.40123,-0.67471,0.0,0.0,0.0,0.0,0.0
7,0.4936,0.81412,0.0011,0.03,0.36846,0.00976,0,0,0.0,0.0,0.0,0.0,0.0
8,1.39478,2.41448,0.0005,0.03,0.64513,0.00757,0.35145,-0.43573,0.0,0.0,0.0,0.0,0.0
9,1.19298,2.26957,0.00099,0.03,0.50519,0.01083,0.4646,-1.07413,0.0,0.0,0.0,0.0,0.0
10,1.24795,1.51959,0.00618,0.03,0.37963,0.00761,0.36977,-0.43326,0.0,0.0,0.0,0.0,0.0
11,1.46865,2.8314,0.00709,0.03,0.32975,0.01644,0.31,-0.26607,0.0,0.0,0.0,0.0,0.0
12,1.19397,1.39424,0.00056,0.03,0.56551,0.01839,0.53082,-1.55337,0.0,0.0,0.0,0.0,0.0
13,1.35442,2.19658,0.00344,0.03,0.33374,0.03161,0.24696,0.13742,0.0,0.0,0.0,0.0,0.0
14,1.89392,2.67927,0.00365,0.03,0.36182,0.03364,0.59404,-0.94949,0.0,0.0,0.0,0.0,0.0
15,1.08633,1.26888,0.00886,0.03,0.66521,0.01354,0.30476,0.08084,0.0,0.0,0.0,0.0,0.0
16,0.82138,1.56616,0.00349,0.03,0.29673,0.01273,0.24444,-0.2061,0.0,0.0,0.0,0.0,0.0
17,0.55217,1.67879,0.00453,0.03,0.14034,0.03009,0.22386,-0.12789,0.0,0.0,0.0,0.0,0.0
18,0.73822,1.77036,0.00383,0.03,0.26552,0.02149,0.15994,0.09284,0.0,0.0,0.0,0.0,0.0
19,1.7057,2.5217,0.00389,0.03,0.43833,0.01344,0.15994,-0.08631,0.0,0.0,0.0,0.0,0.0
20,3.10932,3.7043,0.00402,0.03,0.51253,0.02128,0.30894,-0.10941,0.0,0.0,0.0,0.0,0.0
21,1.89842,4.17179,0.00374,0.03,0.40109,0.02402,0.57966,-1.05328,0.0,0.0,0.0,0.0,0.0
22,0.55687,1.29989,0.01019,0.03,0.18823,0.04944,0.2841,-0.40274,0.0,0.0,0.0,0.0,0.0
23,1.06953,2.27048,0.00775,0.03,0.30931,0.02593,0.51484,-1.40182,0.0,0.0,0.0,0.0,0.0
24,0.89185,2.51892,0.00471,0.03,0.32474,0.02752,0.30945,-0.55891,0.0,0.0,0.0,0.0,0.0
25,0.3088,0.90432,0.0123,0.03,0.16345,0.04111,0.38408,-0.30024,0.0,0.0,0.0,0.0,0.0
26,0.17505,0.84169,0.00735,0.03,0.12061,0.04932,0.54607,-0.95315,0.0,0.0,0.0,0.0,0.0
27,0.87837,1.84365,0.02048,0.03,0.32331,0.05782,0.46244,-0.85315,0.0,0.0,0.0,0.0,0.0
28,0.88472,1.9048,0.01653,0.03,0.28046,0.0517,0.20646,0.0085,0.0,0.0,0.0,0.0,0.0
29,0.5462,1.32924,0.00852,0.03,0.39864,0.01534,0.49952,-1.27278,0.0,0.0,0.0,0.0,0.0
30,1.67155,2.04243,0.00615,0.03,0.57981,0.01307,0.38336,-0.74336,0.0,0.0,0.0,0.0,0.0
31,1.531,2.58042,0.00775,0.03,0.43481,0.02637,0.4418,-0.70543,0.0,0.0,0.0,0.0,0.0
32,0.21753,0.51113,0.00746,0.03,0.28636,0.0164,0.11057,-0.01809,0.0,0.0,0.0,0.0,0.0
33,0.66118,0.85397,0.01132,0.03,0.36713,0.02976,0.42575,-0.99302,0.0,0.0,0.0,0.0,0.0
34,0.90067,2.14214,0.01499,0.03,0.24155,0.03958,0.29644,-0.61662,0.0,0.0,0.0,0.0,0.0
35,2.95587,2.63613,0.00852,0.03,0.76356,0.01948,0.52725,-1.36738,0.0,0.0,0.0,0.0,0.0
36,0.24768,1.00418,0.00508,0.03,0.23769,0.00844,0,0,0.0,0.0,0.0,0.0,0.0
37,0.18535,0.64376,0.01592,0.03,0.36854,0.00618,0,0,0.0,0.0,0.0,0.0,0.0
38,1.18305,1.34545,0.00422,0.03,0.50848,0.01992,0.63342,-2.21451,0.0,0.0,0.0,0.0,0.0
39,0.42878,1.01125,0.00874,0.03,0.15357,0.04315,0.39105,-1.02687,0.0,0.0,0.0,0.0,0.0
40,0.4249,1.16175,0.02253,0.03,0.20695,0.06027,0.53616,-1.37304,0.0,0.0,0.0,0.0,0.0
41,0.68663,1.17675,0.00365,0.03,0.32307,0.03894,0.29148,-0.01636,0.0,0.0,0.0,0.0,0.0
