! Written by JB Pacific Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.25,4.6427,10.4072,5.0046,5.3148,3.1227,4.3066,4.8857,3.9551,4.3376,1.8354
0.5,3.6655,12.4649,4.7254,10.1487,2.9417,4.105,3.9551,3.0865,1.1064,4.2808
0.75,8.0187,9.6937,10.5158,6.6124,3.1434,4.2032,3.0244,4.5237,1.7578,2.4454
1.0,10.9552,3.4846,15.0809,1.5355,6.7675,3.6914,3.04,4.074,1.3494,1.5303
1.25,9.9161,0.3102,6.6331,1.7681,8.2306,3.588,8.3961,5.1286,3.5414,1.5303
1.5,1.5252,0.3102,1.1116,1.2977,6.752,3.283,6.4677,6.6228,4.3842,3.2106
1.75,1.7423,0.548,1.3545,6.1368,7.7033,2.2593,4.3738,3.1434,4.6271,9.4818
2.0,1.6337,0.6928,1.5303,3.071,6.5504,2.6677,3.8982,2.6884,5.4802,9.3319
2.25,1.339,6.0851,0.853,3.1847,1.4011,4.105,3.8465,4.6892,8.2151,9.4818
2.5,1.2408,5.0201,1.4528,6.2557,1.003,7.2845,2.037,4.0481,6.9847,2.7556
2.75,2.2541,2.2489,1.4269,5.4285,0.9203,6.8709,2.2645,4.6995,5.3665,0.1551
3.0,4.7667,0.4343,2.0111,0.9461,3.164,5.3354,5.5112,5.0408,4.5496,5.6612
3.25,0,0,0,0,0,0,0,0,0,0
