"EPR_E1a_001_180m_E0_MHWS_001","Location","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Water Level","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow","Flow"
"C:\Temp\JBP\2023s1024-ROLFS\EPR\runs\EPR_~s1~_~e1~_~e2~_~e3~_~e4~_001.tcf","Time","EPR_Outlet","ManningEsplanadeDogArea","ThornlandsRdBridge","RedlandsHorseClub","RedlandsNetballClub","ColthouseDrBridge","BushCherryPl","CrystalWater_1","CrystalWater_2","ImmediatelyDS_CrystalWtr","EPR_at_RedlandCityMarina","LinkRd","VicPntSharksSportsClub","VicPntShoppingCentre_US","VicPntShoppingCentre_DS","EPR_atKFCVicPnt","EPR_atCreeksideCct","EPR_atKodakCl","BunkerRoad","EPR_atSpringacreRd","EldershawAve","SandyCkatMtCottonRd","EPR_atCottonCnr","S_36","S_8","S_20","S_22","EPR_Outlet","EPR_at_RedlandCityMarina","EPR_atKFCVicPoint","EPR_atSpringacreRd","EPR_atCreeksideCct","VicPntShoppingCentre","LinkRoad","ManningEsplanadeDogArea","BushCherryPl","RedlandsHorseClub","RedlandsNetballClub","DS_CrystalWtrs","US_CrystalWtrs","ThornlandsRdBridge","ColthouseDrBridge","SandyCkatMtCottonRd","EPR_atCottonCorner","EldershawAve","VicPntSharksSportClub","EPR_atKodakCl","BunkerRd","CrystalWtrs_Interim","BunningVicPnt","S_36","S_8","S_20","S_22","S_18","S_19","S_35","S_15","S_34","S_29","S_25"
"C:\Temp\JBP\2023s1024-ROLFS\EPR\results\E1a\001\2d\EPR_E1a_001_180m_E0_MHWS_001_PO.csv",        0.000000,          0.9000,          0.9000,          6.1376,          1.7845,          4.3103,          5.8905,          9.1311,         25.7351,         21.6951,         15.4389,          0.9000,          1.8704,          4.0257,          8.8451,          2.7958,          2.7349,          4.7452,          3.4544,         13.3348,         10.0215,         16.2429,         37.8242,         27.3549,         38.7924,          0.9000,         20.5370,         13.7362,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000,          0.0000
,        0.033333,          0.9000,          0.9000,          6.1390,          1.7858,          4.3147,          5.9020,          9.1363,         25.7366,         21.6966,         15.4416,          0.9015,          1.8784,          4.0286,          8.8466,          2.8061,          2.7371,          4.7460,          3.4696,         13.3490,         10.0253,         16.2440,         37.8259,         27.3551,         38.7945,          0.9011,         20.5381,         13.7374,          0.0000,         -0.0017,          0.0024,          0.0030,          0.0003,          0.0027,         -0.0001,          0.0000,          0.0009,         -0.0007,         -0.0006,          0.0113,          0.0159,          0.0046,          0.0007,         -0.0020,          0.0097,          0.0008,          0.0016,         -0.0014,          0.0091,          0.0175,          0.0002,          0.0013,          0.1200,          0.0004,          0.0001,          0.0002,          0.0022,          0.0005,          0.0031,          0.0038,          0.0020,          0.0013
,        0.066667,          0.9000,          0.9000,          6.1395,          1.7864,          4.3209,          5.9333,          9.1556,         25.7381,         21.6981,         15.4429,          0.9030,          1.8895,          4.0307,          8.8486,          2.8263,          2.7384,          4.7460,          3.5030,         13.3829,         10.0303,         16.2443,         37.8264,         27.3552,         38.7976,          0.9020,         20.5385,         13.7379,          0.0000,          0.0404,          0.0084,          0.0125,          0.0010,          0.0046,          0.0005,          0.0000,          0.0005,         -0.0019,         -0.0012,          0.0233,          0.0365,          0.0104,          0.0010,         -0.0064,          0.0152,          0.0025,          0.0043,         -0.0031,          0.0255,          0.0311,          0.0010,          0.0025,          0.3251,          0.0011,          0.0017,          0.0007,          0.0055,          0.0015,          0.0096,          0.0113,          0.0052,          0.0038
,        0.100000,          0.9000,          0.9000,          6.1398,          1.7866,          4.3272,          5.9800,          9.1856,         25.7396,         21.6999,         15.4452,          0.9040,          1.9009,          4.0407,          8.8519,          2.8371,          2.7390,          4.7461,          3.5519,         13.4224,         10.0338,         16.2466,         37.8340,         27.3552,         38.7996,          0.9021,         20.5386,         13.7380,          0.0000,          0.1817,          0.0231,          0.0239,          0.0011,          0.0054,          0.0010,          0.0000,          0.0031,         -0.0014,         -0.0003,          0.0369,          0.0778,          0.0130,          0.0012,          0.0036,          0.0173,          0.0046,          0.0051,         -0.0050,          0.0411,          0.0354,          0.0031,          0.0043,          0.6896,          0.0023,          0.0033,          0.0016,          0.0089,          0.0031,          0.0155,          0.0238,          0.0090,          0.0073
,        0.133333,          0.9000,          0.9000,          6.1425,          1.7868,          4.3337,          6.0124,          9.2046,         25.7412,         21.7022,         15.4481,          0.9045,          1.9124,          4.0533,          8.8552,          2.8561,          2.7395,          4.7461,          3.6139,         13.4715,         10.0345,         16.2494,         37.8571,         27.3552,         38.8004,          0.9021,         20.5387,         13.7381,          0.0000,          0.4509,          0.0499,          0.0346,          0.0008,          0.0068,          0.0023,          0.0000,          0.0081,          0.0001,          0.0089,          0.0491,          0.1190,          0.0142,          0.0066,          0.0206,          0.0203,          0.0089,          0.0196,         -0.0069,          0.0585,          0.0377,          0.0018,          0.0081,          1.0689,          0.0030,          0.0052,          0.0027,          0.0141,          0.0049,          0.0240,          0.0406,          0.0136,          0.0095
,        0.166667,          0.9000,          0.9000,          6.1842,          1.7870,          4.3403,          6.0137,          9.2586,         25.7431,         21.7051,         15.4863,          0.9045,          1.9242,          4.0866,          8.8582,          2.8762,          2.7413,          4.7462,          3.6644,         13.5176,         10.0420,         16.2684,         37.8847,         27.3552,         38.8011,          0.9019,         20.5387,         13.7381,          0.0000,          0.7985,          0.0652,          0.0435,          0.0006,          0.0054,          0.0040,          0.0000,          0.0448,         -0.0009,          0.0117,          0.0573,          0.1457,          0.0165,          0.0420,          0.0245,          0.0302,          0.0213,          0.0891,         -0.0086,          0.0708,          0.0407,          0.0052,          0.0123,          1.4862,          0.0002,          0.0178,          0.0043,          0.0187,          0.0066,          0.0368,          0.0623,          0.0176,          0.0112
,        0.200000,          0.9000,          0.9000,          6.2158,          1.7872,          4.3469,          6.0264,          9.3906,         25.7452,         21.7090,         15.5521,          0.9044,          1.9367,          4.3132,          8.8614,          2.9005,          2.7528,          4.7462,          3.6920,         13.5443,         10.0519,         16.2790,         37.9062,         27.3552,         38.8021,          0.9017,         20.5387,         13.7381,          0.0000,          1.1642,          0.1022,          0.0465,         -0.0004,          0.0092,          0.0054,          0.0000,          0.2332,          0.0026,          0.0120,          0.0609,          0.2117,          0.0204,          0.0979,          0.0618,          0.0403,          0.0367,          0.1415,          0.0706,          0.0814,          0.0434,          0.0069,          0.0252,          1.8765,          0.0024,          0.0404,          0.0071,          0.0232,          0.0091,          0.0466,          0.0845,          0.0242,          0.0113
,        0.233333,          0.9000,          0.9000,          6.2856,          1.7874,          4.3536,          6.0872,          9.4126,         25.7475,         21.7138,         15.6315,          0.9041,          1.9480,          4.3231,          8.8649,          2.9234,          2.7638,          4.7462,          3.6952,         13.5779,         10.0616,         16.2866,         37.9255,         27.3553,         38.8029,          0.9017,         20.5388,         13.7381,          0.0000,          1.4969,          0.1205,          0.0539,         -0.0017,          0.0103,          0.0067,          0.0000,          0.4349,          0.0095,          0.0109,          0.0661,          0.2908,          0.0349,          0.2095,          0.0809,          0.0379,          0.0538,          0.1815,          0.0706,          0.0879,          0.0454,          0.0072,          0.0682,          2.2395,          0.0035,          0.0413,          0.0114,          0.0327,          0.0120,          0.0786,          0.1050,          0.0307,          0.0161
,        0.266667,          0.9000,          0.9000,          6.3556,          1.7876,          4.3606,          6.1382,          9.4175,         25.7505,         21.7193,         15.6836,          0.9041,          1.9562,          4.3429,          8.8691,          2.9462,          2.7737,          4.7464,          3.6969,         13.6168,         10.0719,         16.2959,         37.9478,         27.3554,         38.8035,          0.9017,         20.5389,         13.7382,          0.0000,          1.8390,          0.1486,          0.0383,          0.0199,          0.0168,          0.0076,          0.0000,          0.4958,          0.0162,          0.0061,          0.0634,          0.3539,          0.1151,          0.3331,          0.2484,         -0.0035,          0.0844,          0.1764,          0.0729,          0.0943,          0.0489,          0.0027,          0.1108,          2.5695,          0.0103,         -0.0470,          0.0215,          0.0772,          0.0169,          0.1179,          0.1233,          0.0825,          0.0275
