Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0.0003,0.0002,0.0001,0.0001,0.0005,0,0,0.0001,0.0001,0.0003,0.0003,0.0001,0,0.0012,0.0009,0.0002,0.0011,0.0008,0.0001,0.0001,0.0002,0.0002,0.0012,0.0004,0.0008,0.0004,0.0008,0.0007,0.0001,0.0002,0.0002,0.0001,0,0.0002,0.0002,0,0,0,0,0,0.0001
0.92,0.0178,0.0124,0.0072,0.0034,0.0268,0.0008,0.001,0.0045,0.0034,0.0148,0.0182,0.0032,0.0029,0.0398,0.0336,0.0133,0.0439,0.037,0.0036,0.0035,0.0109,0.0127,0.0448,0.0206,0.0277,0.0223,0.0396,0.0204,0.006,0.0106,0.0107,0.0042,0.0005,0.0124,0.0126,0.0012,0.0003,0.0001,0.0001,0.0028,0.0044
1,0.0989,0.0841,0.0537,0.0253,0.134,0.0065,0.0074,0.0303,0.0253,0.0925,0.118,0.0239,0.0211,0.1554,0.1316,0.0868,0.1783,0.1657,0.0269,0.0255,0.0634,0.0791,0.1794,0.1068,0.1121,0.1155,0.181,0.0866,0.0391,0.0667,0.0647,0.0322,0.0039,0.0878,0.084,0.0092,0.0029,0.0007,0.0011,0.0203,0.0326
1.08,0.2594,0.249,0.1858,0.0846,0.3298,0.0242,0.0275,0.0871,0.0954,0.2566,0.3553,0.0877,0.0677,0.3432,0.288,0.2502,0.403,0.3917,0.098,0.093,0.173,0.3735,0.4008,0.268,0.2552,0.2964,0.4326,0.216,0.1143,0.1869,0.1797,0.1237,0.0163,0.2708,0.2438,0.0357,0.0119,0.0029,0.0046,0.0702,0.1199
1.17,0.5136,0.5251,0.4322,0.1987,0.6268,0.0636,0.069,0.1788,0.2569,0.5205,2.0377,0.215,0.1535,0.6222,0.5162,0.5247,0.7415,0.7353,0.2568,0.2334,0.5917,1.6399,0.7302,0.5146,0.4748,0.5864,1.1646,0.4478,0.2446,0.3819,0.3706,0.3309,0.0485,1.1771,0.5498,0.1013,0.0338,0.0085,0.0132,0.1623,0.3048
1.25,0.8741,0.9334,0.8177,0.3886,1.029,0.1375,0.1374,0.3099,0.5396,1.2897,4.5522,0.4246,0.4333,0.9765,1.2162,0.9357,1.1796,1.1944,0.5371,0.4741,1.7849,4.2107,1.152,0.8529,0.9598,1,2.995,0.9126,0.449,0.7095,0.6551,0.69,0.117,3.7151,1.8197,0.2419,0.081,0.0203,0.0311,0.3037,0.5987
1.33,1.385,2.2019,1.4835,0.6805,1.9163,0.2646,0.2357,0.471,1.3533,2.8762,7.3141,0.7286,1.0771,1.3614,2.402,1.4617,1.6606,1.7182,1.4507,1.3458,3.5346,8.1359,1.8284,1.2486,1.7731,1.5017,5.0746,2.6503,0.753,1.6608,1.0156,1.2219,0.2418,7.5014,4.6926,0.5072,0.1766,0.042,0.0634,0.4943,1.7174
1.42,2.4195,4.0557,3.1096,1.2772,3.1173,0.6461,0.3571,0.6365,3.0073,5.2276,9.4356,1.1074,1.9369,1.6863,3.4591,2.0224,2.0684,2.2035,3.183,3.6449,5.6904,12.7756,2.7394,1.634,2.4189,2.3346,6.6784,5.3866,1.1598,3.1149,1.3976,1.9104,0.4415,11.7601,9.8249,1.1163,0.3487,0.0774,0.1156,0.709,4.0036
1.5,3.4387,6.0136,5.2051,2.9197,4.2001,2.1373,0.4864,0.7807,5.358,7.1998,10.3947,1.5198,2.8678,1.9377,4.2665,2.6164,2.3751,2.6061,5.3438,6.8474,8.1823,17.2606,3.4395,1.9635,2.7524,3.3721,7.5576,8.4579,2.0799,4.8883,1.7425,3.2188,0.7369,15.5762,16.5932,3.0507,0.6183,0.129,0.1995,1.0107,6.4873
1.58,4.3416,7.7615,7.3867,5.6627,5.1121,4.4842,0.6102,0.9374,7.6825,8.7091,10.6393,1.9307,3.7804,2.1421,4.9067,3.5039,2.6139,2.9534,7.7038,10.5501,11.1126,21.4017,3.9447,2.2542,2.8906,4.3143,7.9952,11.1216,3.6116,6.9316,2.0475,5.3257,1.1625,18.6689,23.2671,6.7604,1.5222,0.2,0.4092,1.3415,8.7637
