Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.83,0.0195,0.0131,0.0109,0.0094,0.0272,0.0009,0.0002,0.0012,0.0037,0.0306,0.0005,0.0051,0.02,0.0749,0.1017,0.0057,0.0275,0.0381,0.0039,0.0042,0.0093,0.0257,0.059,0.0224,0.0354,0.021,0.034,0.0344,0.0141,0.0245,0.0031,0.006,0.0015,0.0246,0.0343,0.0036,0.0013,0.0008,0.0004,0.002,0.0093
0.92,0.6212,0.4361,0.367,0.3108,0.8476,0.0298,0.0058,0.0403,0.1253,0.9974,0.0156,0.1705,0.618,0.9691,1.5408,0.19,0.5467,1.0835,0.1309,0.1408,0.3069,0.8408,1.0141,0.7276,0.5141,0.6342,0.9141,0.3596,0.4636,0.8073,0.1057,0.2033,0.0503,0.8187,1.1212,0.122,0.0453,0.0261,0.0142,0.0665,0.3076
1,2.0799,2.0651,1.8666,1.2049,2.6848,0.1549,0.0308,0.2057,0.6402,3.6615,0.0823,0.8731,1.9182,2.0848,3.2042,0.8157,1.3574,3.0688,0.6725,0.7091,1.154,3.1468,2.3409,2.5485,1.1831,1.9512,2.5452,0.7693,1.7286,3.56,0.4876,1.0574,0.2631,4.069,4.4926,0.6325,0.2367,0.1376,0.0751,0.2348,1.5333
1.08,3.7439,4.4233,4.5536,2.338,4.6815,0.4536,0.0921,0.5145,1.8212,6.6873,0.2468,2.1244,3.3623,3.0883,4.5102,1.6641,2.2111,5.0716,1.9285,1.9472,2.2156,5.8278,3.5993,4.6309,1.8525,3.4791,4.3026,1.1688,3.2662,7.1219,1.0474,3.092,0.7776,9.4555,8.4282,1.6753,0.6971,0.4108,0.2267,0.4581,4.1998
1.17,5.9519,7.4821,8.1103,3.8704,7.3104,1.0202,0.2129,0.9296,3.975,10.4821,0.5863,3.8477,5.3195,4.5233,6.3973,2.8305,3.4583,7.7446,4.3141,3.6712,3.6589,9.2248,5.4025,7.3326,2.8223,5.6328,6.7742,1.7374,5.3034,11.5509,1.8346,6.6566,1.8095,16.1609,13.2452,3.1592,1.615,0.9693,0.5425,0.7903,8.4106
1.25,8.2297,11.1357,12.3994,5.6458,9.8647,1.768,0.3828,1.435,6.6303,14.4771,1.1751,6.0257,7.2311,5.4387,7.4631,4.2638,4.4833,10.0637,7.7605,5.5907,5.3151,12.8695,6.6848,10.1778,3.5403,7.8048,9.0012,2.1206,7.5741,16.5672,2.8461,11.21,3.5304,23.8021,18.4462,5.062,3.1332,1.9254,1.098,1.1907,12.8726
1.33,9.8261,14.3493,16.7052,7.0906,11.5277,2.6171,0.5916,1.9553,9.3449,17.1928,2.0627,8.3053,8.5291,5.7766,7.7393,5.537,5.1082,11.4074,11.387,7.5013,6.6493,15.4354,7.2964,12.1608,3.909,9.4009,10.4493,2.2737,9.307,20.4666,3.8247,16.3839,5.9842,30.8074,22.0639,7.1923,5.0759,3.3426,1.9513,1.5586,17.0118
1.42,9.7852,15.733,19.1525,7.5268,11.1624,3.3938,0.805,2.2702,11.4964,17.1435,3.1918,9.7785,8.322,4.9099,6.34,6.1198,4.7167,10.5721,14.3838,8.6429,7.0198,15.5677,6.3899,12.1691,3.4834,9.3779,9.9233,1.9752,9.6313,21.4328,4.3976,20.9307,8.5654,33.8251,22.2663,8.7547,6.9426,5.0781,3.0721,1.7256,19.6347
1.5,9.1126,15.4663,19.6919,7.2926,10.2428,3.9367,0.984,2.364,12.6667,15.7221,4.376,10.3264,7.7317,4.4349,5.6335,6.1122,4.3969,9.5714,16.4615,8.9185,6.788,14.3999,5.8096,11.2755,3.2081,8.9164,9.2248,1.8097,9.1402,20.2156,4.5509,23.8763,10.8622,33.3243,20.4333,9.5696,8.5506,6.7957,4.4352,1.7708,20.2557
1.58,8.7054,15.001,19.2951,7.124,9.7105,4.2275,1.1147,2.3351,12.9424,14.8535,5.5017,10.4082,7.3806,4.2229,5.3542,6.0824,4.219,9.0291,17.3753,8.5968,6.6303,13.6617,5.5223,10.7372,3.068,8.6306,8.8194,1.7346,8.8158,19.2003,4.6321,25.2726,12.7791,31.6373,19.2404,9.8359,9.7685,8.359,6.0214,1.8111,19.5511
