Rank,Error,Alpha,Beta,m
1,40.958,0.5,2.2,0.66
2,40.989,0.5,2,0.7
3,40.99,0.5,2.4,0.64
4,40.997,0.5,2.2,0.68
5,41.007,0.5,2,0.68
6,41.038,0.5,2.2,0.64
7,41.045,0.5,2.4,0.66
8,41.055,0.5,2.6,0.62
9,41.057,0.5,2.4,0.62
10,41.058,0.49,2.2,0.68
11,41.067,0.49,2.2,0.66
12,41.082,0.5,2.2,0.7
13,41.083,0.5,2,0.72
14,41.09,0.5,2,0.66
15,41.094,0.49,2,0.7
16,41.096,0.49,2.4,0.64
17,41.097,0.5,1.8,0.72
18,41.114,0.5,2.4,0.68
19,41.121,0.5,2.6,0.64
20,41.125,0.5,1.8,0.7
21,41.126,0.49,2,0.68
22,41.137,0.49,2.4,0.66
23,41.156,0.49,2.6,0.62
24,41.158,0.49,2.2,0.64
25,41.163,0.48,2.2,0.68
26,41.168,0.49,2.2,0.7
27,41.175,0.49,2.4,0.62
28,41.18,0.49,2,0.72
29,41.18,0.5,2.2,0.62
30,41.181,0.48,2.2,0.66
31,41.2,0.48,2,0.7
32,41.201,0.5,2.6,0.66
33,41.205,0.48,2.4,0.64
34,41.21,0.49,2.6,0.64
35,41.212,0.49,1.8,0.72
36,41.237,0.49,2.4,0.68
37,41.237,0.48,2.4,0.66
38,41.24,0.48,2,0.72
39,41.263,0.48,2.2,0.7
40,41.275,0.49,2,0.66
41,41.277,0.5,2,0.74
42,41.278,0.49,2.6,0.66
43,41.295,0.48,2.4,0.62
44,41.304,0.47,2.2,0.66
45,41.304,0.48,1.8,0.72
46,41.307,0.5,2.2,0.72
47,41.312,0.49,1.8,0.7
48,41.315,0.49,2,0.74
49,41.316,0.48,2.4,0.68
50,41.326,0.5,1.8,0.68
51,41.335,0.5,2,0.64
52,41.345,0.47,2,0.72
53,41.349,0.47,2,0.68
54,41.364,0.48,2.6,0.66
55,41.373,0.49,2.2,0.62
56,41.377,0.47,2.6,0.62
57,41.381,0.49,2.2,0.72
58,41.39,0.5,2.4,0.7
59,41.403,0.48,2,0.74
60,41.407,0.47,2.4,0.68
61,41.411,0.48,2,0.66
62,41.432,0.47,1.8,0.72
63,41.449,0.48,1.8,0.7
64,41.459,0.49,2.4,0.7
65,41.468,0.49,1.8,0.68
66,41.477,0.49,2,0.64
67,41.485,0.5,2.2,0.6
68,41.485,0.47,2.6,0.66
69,41.498,0.46,2.6,0.62
70,41.499,0.5,2.6,0.68
71,41.5,0.47,2,0.74
72,41.501,0.48,2.2,0.72
73,41.531,0.45,2.2,0.66
74,41.534,0.46,2.4,0.62
75,41.536,0.48,2.4,0.7
76,41.545,0.5,1.8,0.66
77,41.557,0.49,2.6,0.68
78,41.569,0.45,2.4,0.64
79,41.57,0.45,2,0.7
80,41.579,0.46,2.6,0.66
81,41.598,0.5,2,0.62
82,41.599,0.46,2,0.74
83,41.615,0.47,2.4,0.7
84,41.615,0.48,1.8,0.68
85,41.622,0.5,2.2,0.74
86,41.631,0.48,2.6,0.68
87,41.639,0.46,2.2,0.72
88,41.65,0.46,3,0.6
89,41.682,0.45,2.6,0.66
90,41.687,0.45,2,0.68
91,41.698,0.49,1.8,0.66
92,41.715,0.46,3,0.62
93,41.727,0.5,2.4,0.72
94,41.732,0.44,2.2,0.66
95,41.735,0.44,2,0.7
96,41.743,0.45,2.2,0.64
97,41.752,0.45,2.8,0.64
98,41.752,0.49,2,0.62
99,41.771,0.47,1.8,0.68
100,41.784,0.47,2,0.64
101,41.785,0.49,2.4,0.72
102,41.791,0.45,2.4,0.7
103,41.792,0.47,2.8,0.66
104,41.798,0.5,3.2,0.62
105,41.842,0.5,2.6,0.7
106,41.844,0.48,1.8,0.66
107,41.864,0.45,2,0.66
108,41.892,0.43,2.8,0.62
109,41.893,0.5,2.4,0.74
110,41.897,0.44,2.2,0.64
111,41.898,0.49,2.6,0.7
112,41.913,0.45,2.8,0.66
113,41.915,0.44,3,0.62
114,41.953,0.45,2.4,0.6
115,41.962,0.48,2.6,0.7
116,41.969,0.44,2.6,0.68
117,41.978,0.42,2.6,0.66
118,41.995,0.5,1.8,0.64
119,42.026,0.47,2.6,0.7
120,42.028,0.5,2.6,0.72
121,42.035,0.47,3.4,0.6
122,42.071,0.49,2.6,0.72
123,42.074,0.45,2.4,0.72
124,42.076,0.48,2,0.62
125,42.081,0.45,1.8,0.68
126,42.095,0.41,2.6,0.64
127,42.1,0.46,2.6,0.7
128,42.102,0.45,2,0.64
129,42.153,0.5,3.2,0.64
130,42.157,0.48,2.4,0.74
131,42.166,0.49,1.8,0.64
132,42.198,0.44,2.4,0.72
133,42.235,0.4,2.2,0.68
134,42.254,0.43,1.6,0.78
135,42.328,0.48,1.8,0.64
136,42.334,0.48,3,0.68
137,42.338,0.41,1.8,0.76
138,42.349,0.45,2.4,0.74
139,42.358,0.45,3,0.66
140,42.361,0.4,2.2,0.66
141,42.374,0.5,1.8,0.62
142,42.375,0.39,2.2,0.7
143,42.383,0.47,3,0.68
144,42.414,0.46,2,0.62
145,42.431,0.5,2.6,0.74
146,42.435,0.42,3.4,0.6
147,42.457,0.46,3.4,0.62
148,42.457,0.48,2,0.6
149,42.464,0.45,2.6,0.72
150,42.465,0.45,3.2,0.64
151,42.497,0.4,3.2,0.6
152,42.555,0.4,1.8,0.72
153,42.558,0.49,1.8,0.62
154,42.568,0.4,2.2,0.64
155,42.575,0.49,2.8,0.72
156,42.589,0.45,2.2,0.78
157,42.619,0.46,2.6,0.74
158,42.672,0.37,2.4,0.68
159,42.696,0.42,2.6,0.72
160,42.703,0.37,2.2,0.72
161,42.704,0.46,1.8,0.64
162,42.735,0.48,1.8,0.62
163,42.875,0.36,2.6,0.66
164,43.006,0.47,1.8,0.62
165,43.073,0.45,3.4,0.66
166,43.096,0.45,2,0.6
167,43.135,0.35,2.4,0.72
168,43.15,0.34,2.4,0.68
169,43.176,0.48,4,0.6
170,43.202,0.36,3,0.66
171,43.213,0.46,1.8,0.62
172,43.23,0.43,2.6,0.76
173,43.287,0.42,2.6,0.76
174,43.288,0.4,2.8,0.72
175,43.315,0.35,3.4,0.6
176,43.428,0.45,1.8,0.62
177,43.684,0.38,2.8,0.74
178,43.698,0.47,2.8,0.76
179,43.743,0.4,3.2,0.7
180,43.775,0.49,3,0.74
181,43.795,0.47,1.2,0.74
182,43.867,0.33,3,0.68
183,43.877,0.35,3,0.7
184,43.884,0.5,3.2,0.72
185,43.948,0.43,3,0.74
186,44.046,0.47,3.4,0.7
187,44.102,0.37,2.6,0.78
188,44.109,0.42,3.2,0.72
189,44.267,0.46,4,0.64
190,44.333,0.29,2.2,0.7
191,44.359,0.38,3.2,0.72
192,44.429,0.3,2.6,0.62
193,44.459,0.36,2.2,0.6
194,44.477,0.28,3.2,0.62
195,44.519,0.44,3,0.76
196,44.572,0.47,3.2,0.74
197,44.639,0.28,2.6,0.64
198,44.663,0.28,2.8,0.62
199,44.664,0.4,1.6,0.66
200,44.671,0.31,3,0.72
201,44.813,0.42,3.4,0.72
202,44.833,0.35,3.8,0.66
203,44.892,0.44,3.8,0.68
