Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0.005,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0025,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0.0043,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0021,0,0,0,0,0,0,0
0.17,0.0021,0.0009,0.001,0.0002,0.0026,0,0.0001,0.0002,0.0037,0.0019,0.0001,0.0005,0.0014,0.009,0.0054,0.0015,0.006,0.0045,0,0,0.001,0.0013,0.0073,0.0018,0.0059,0.0034,0.0046,0.0033,0,0,0.0005,0.0004,0.0001,0.0019,0.0016,0,0,0,0,0.0007,0.0004
0.25,0.0185,0.0098,0.0102,0.0025,0.0223,0,0.0007,0.0019,0.0035,0.0181,0.0008,0.0054,0.0117,0.046,0.0296,0.0144,0.0354,0.0338,0,0.0002,0.0094,0.0129,0.0408,0.0167,0.0316,0.0267,0.0329,0.0165,0.0035,0.0017,0.0047,0.0047,0.0009,0.0023,0.0159,0,0,0.0002,0,0.006,0.0045
0.33,0.0592,0.0384,0.0435,0.0091,0.0697,0,0.0031,0.008,0.0048,0.0609,0.0034,0.023,0.036,0.1152,0.0762,0.0512,0.0948,0.0997,0,0.008,0.0313,0.044,0.1067,0.0548,0.0812,0.0817,0.0958,0.0455,0.0161,0.0123,0.0177,0.0212,0.0042,0.0055,0.0552,0,0,0.0007,0,0.0193,0.0207
0.42,0.1339,0.0965,0.1168,0.0237,0.1553,0.0011,0.0094,0.0215,0.0099,0.1403,0.0106,0.0616,0.0804,0.2301,0.1534,0.1219,0.1982,0.2151,0,0.0321,0.0728,0.1026,0.219,0.1253,0.1659,0.1822,0.2081,0.1021,0.0422,0.0362,0.044,0.0653,0.0136,0.0152,0.1288,0,0,0.0023,0,0.0441,0.0634
0.5,0.2535,0.1956,0.2453,0.052,0.2899,0.0118,0.0224,0.0453,0.0233,0.2679,0.0267,0.1299,0.1514,0.3865,0.2609,0.2399,0.3489,0.39,0.0059,0.0802,0.1423,0.2791,0.3784,0.2388,0.2851,0.3417,0.3806,0.1931,0.0892,0.0805,0.0895,0.1531,0.0362,0.036,0.2478,0,0,0.0059,0,0.085,0.145
0.58,0.4133,0.3405,0.44,0.0989,0.4664,0.0355,0.0437,0.0813,0.0503,0.4403,0.0573,0.2349,0.3036,0.5658,0.3892,0.4062,0.5328,0.6104,0.0556,0.1512,0.2692,0.8794,0.5685,0.3919,0.4262,0.5534,0.602,0.3235,0.1599,0.1502,0.1569,0.2971,0.082,0.0779,0.4098,0,0,0.0128,0,0.1414,0.2711
0.67,0.597,0.5221,0.6932,0.1677,0.6652,0.0776,0.0739,0.1279,0.096,0.6405,0.1088,0.3736,0.6619,0.7376,0.563,0.6063,0.7209,0.848,0.15,0.2378,0.6051,1.6861,0.7598,0.5696,0.5653,0.794,1.0793,0.4746,0.2537,0.244,0.2428,0.5034,0.161,0.1854,0.7242,0,0.0004,0.0245,0,0.208,0.4403
0.75,0.7859,0.725,0.9854,0.26,0.8665,0.1402,0.1122,0.1814,0.1641,1.0506,0.1859,0.5365,1.074,0.8922,0.8897,0.8192,0.8967,1.0794,0.2936,0.3479,1.103,2.6047,0.9387,0.7543,0.7228,1.0397,1.8223,0.7399,0.3504,0.357,0.3406,0.7656,0.2789,0.413,1.3027,0,0.0005,0.0421,0,0.2782,0.6404
0.83,0.9743,0.9384,1.2984,0.3773,1.0648,0.2221,0.1562,0.2381,0.2701,1.5986,0.2901,0.7147,1.5103,1.03,1.2553,1.0339,1.0574,1.3007,0.6815,0.8317,1.7217,3.5943,1.1039,0.9399,0.953,1.2832,2.4758,1.5608,0.4073,0.5613,0.4456,1.0709,0.4382,0.7989,2.0458,0,0.0007,0.0659,0,0.3492,0.9559
0.92,1.1457,1.2604,1.8363,0.4857,1.2425,0.4862,0.2021,0.2942,0.4455,2.167,0.5807,0.8975,1.9152,1.1242,1.6335,1.2325,1.1759,1.4886,1.4471,1.7312,2.395,4.5582,1.2289,1.1121,1.0891,1.4993,2.9178,2.5805,0.4845,0.9519,0.5511,1.3997,0.6364,1.3321,2.9079,0,0.0104,0.0948,0,0.4137,1.8944
1,1.2838,1.6926,2.5155,0.7589,1.4644,1.0532,0.2463,0.3451,0.6879,2.6472,1.1608,1.0711,2.2409,1.1787,1.9025,1.3918,1.2475,1.6274,2.3077,3.0126,3.1862,5.4537,1.3118,1.2544,1.1327,1.6673,3.1124,3.556,0.5966,1.3949,0.6471,1.7316,0.8641,1.9784,3.8101,0,0.0387,0.1269,0,0.4638,2.7797
1.08,1.4125,2.0903,3.1388,1.3167,1.6973,1.7028,0.2862,0.3882,0.9803,3.0206,1.6926,1.2269,2.5036,1.2105,2.0994,1.5129,1.289,1.7322,3.1841,4.4126,4.1521,6.369,1.3685,1.3722,1.1281,1.7979,3.1591,4.3235,0.7499,1.861,0.7312,2.0511,1.1109,2.6904,4.7413,0.3069,0.0537,0.1642,0,0.5018,3.5248
1.17,1.6346,2.4771,3.719,2.0718,1.9333,2.46,0.3217,0.4269,1.2999,3.4224,2.1408,1.3746,2.7721,1.2663,2.345,1.6224,1.346,1.8427,4.0318,5.8662,5.3573,7.4631,1.4436,1.4878,1.1736,1.9286,3.255,4.938,1.119,2.3563,0.8115,2.3566,1.4975,3.4327,5.8235,0.9454,0.0461,0.2065,0,0.5385,4.1294
1.25,1.9141,2.9189,4.3382,3.073,2.2393,3.3739,0.3559,0.4674,1.6298,3.949,2.5148,1.5314,3.1114,1.3538,2.6687,1.7547,1.4358,1.9905,4.852,7.4168,6.8687,8.9237,1.5517,1.627,1.2797,2.1163,3.5022,5.5125,1.7069,2.9647,0.9007,2.8487,2.139,4.2032,7.2509,1.8636,0.1525,0.2618,0,0.5859,4.68
