Time (hours),Q_3,Q_31,Q_4,Q_5,Q_6,Q_7,Q_37,Q_36,Q_10,Q_11,Q_15,Q_38,Q_18,Q_39,Q_17,Q_33,Q_40,Q_34,Q_19,Q_16,Q_41,Q_13,Q_22,Q_23,Q_25,Q_27,Q_28,Q_26,Q_24,Q_21,Q_29,Q_35,Q_30,Q_20,Q_14,Q_12,Q_9,Q_8,Q_1,Q_32,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0048,0.0032,0.0027,0.0023,0.0068,0.0002,0,0.0003,0.0009,0.0076,0.0001,0.0013,0.005,0.0187,0.0254,0.0014,0.0068,0.0095,0.001,0.001,0.0023,0.0064,0.0147,0.0055,0.0088,0.0052,0.0084,0.0094,0.0035,0.0061,0.0008,0.0015,0.0004,0.0061,0.0085,0.0009,0.0003,0.0002,0.0001,0.0005,0.0023
0.17,0.5306,0.3623,0.3045,0.2584,0.7367,0.0246,0.0048,0.0334,0.1039,0.8324,0.0129,0.1413,0.5435,0.9791,1.5486,0.1577,0.533,0.9816,0.1085,0.1169,0.2552,0.7012,1.0042,0.609,0.5135,0.5643,0.8464,0.3676,0.3859,0.6721,0.0877,0.1684,0.0416,0.6805,0.9353,0.101,0.0375,0.0216,0.0117,0.0568,0.2557
0.25,2.3,2.1688,1.8881,1.3124,2.9843,0.1563,0.031,0.208,0.6472,4.0113,0.0829,0.8864,2.1365,2.399,3.691,0.878,1.545,3.4465,0.6795,0.718,1.2613,3.4403,2.679,2.8065,1.3554,2.1754,2.8645,0.8868,1.8909,3.8003,0.518,1.067,0.2653,4.1386,4.8754,0.6384,0.2387,0.1386,0.0757,0.2583,1.5544
0.33,4.3465,5.0735,5.1569,2.707,5.4377,0.4922,0.0998,0.5811,1.9778,7.7484,0.2675,2.4102,3.9076,3.5474,5.1842,1.9214,2.5656,5.8929,2.0938,2.1417,2.5674,6.7503,4.161,5.3724,2.1377,4.0455,5.0027,1.3353,3.7848,8.2041,1.2049,3.3546,0.8434,10.743,9.7464,1.882,0.7562,0.4454,0.2457,0.532,4.5667
0.42,6.1685,8.0721,8.8323,4.0981,7.4998,1.0988,0.2295,1.0134,4.2596,10.9761,0.6243,4.1953,5.4461,4.3023,6.0185,3.0313,3.4052,7.7826,4.5797,3.9938,3.8624,9.6884,5.2217,7.6471,2.7327,5.7727,6.8098,1.6551,5.5834,12.3462,1.9809,7.2236,1.9248,17.5296,13.992,3.4544,1.7175,1.0318,0.5778,0.8316,9.0825
0.5,7.5965,10.7403,12.3064,5.3206,9.0254,1.8282,0.3973,1.431,6.8248,13.4047,1.2022,5.9871,6.6274,4.7509,6.4416,4.0725,4.0255,9.0733,7.9772,5.6653,4.9955,11.9621,5.9042,9.4156,3.1404,7.1915,8.1692,1.8616,7.0839,15.7007,2.7551,11.5599,3.6025,23.3542,17.1932,5.1069,3.1955,1.9681,1.1243,1.1269,13.1311
0.58,8.4855,12.7785,15.1614,6.2298,9.8809,2.5377,0.5775,1.7829,9.0103,14.8503,2.0258,7.5724,7.3276,4.7409,6.2986,4.9194,4.3147,9.6634,11.1331,6.9453,5.8317,13.377,6.0662,10.5128,3.2579,8.1225,8.9112,1.8665,8.1214,17.9635,3.4365,15.7136,5.8693,27.6118,19.1293,6.6461,5.0096,3.279,1.9189,1.3805,16.0352
0.67,7.3959,12.6613,15.7999,5.9024,8.2864,2.9943,0.7184,1.8831,10.04,13.0561,2.9818,8.123,6.1884,3.201,3.993,4.8981,3.3235,7.5864,12.9284,7.2304,5.4826,11.9317,4.3126,9.2527,2.3743,7.0373,7.2006,1.3029,7.4602,16.8675,3.5824,18.2288,7.9919,27.442,17.1404,7.3848,6.4191,4.7459,2.8689,1.3631,16.5916
0.75,5.7753,10.7346,14.3285,4.8775,6.3252,3.1459,0.7993,1.7365,9.9495,9.9605,3.8651,7.5915,4.8184,2.3633,2.8242,4.2171,2.6075,5.6603,13.3121,6.6521,4.5173,9.2255,3.2349,7.1667,1.8249,5.6746,5.6174,0.9909,5.9879,13.4742,3.2321,18.8178,9.4177,23.56,13.1063,7.2217,7.2357,5.9807,3.9133,1.2149,15.2757
