Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0001,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.25,0.0003,0.0003,0,0,0.0007,0,0,0,0.0001,0.001,0,0,0,0.0008,0.0006,0.0002,0.0002,0.0005,0,0,0.0002,0,0.0011,0.0001,0.0017,0.0003,0,0.0003,0,0,0,0,0,0.0001,0.0002,0,0,0,0,0.0002,0
0.33,0.0026,0.0035,0.0003,0,0.0054,0,0,0,0.0019,0.0088,0,0.0003,0,0.0047,0.0043,0.0024,0.0018,0.0037,0,0,0.0024,0,0.0075,0.0012,0.011,0.0025,0,0.0015,0,0,0.0005,0.0001,0,0.0021,0.0019,0,0,0,0,0.0013,0
0.42,0.0116,0.0169,0.0022,0,0.0217,0,0,0,0.0144,0.0375,0,0.0016,0,0.0155,0.0163,0.0114,0.0071,0.0143,0,0,0.012,0,0.027,0.0053,0.0385,0.0111,0,0.0051,0,0.0002,0.0023,0.001,0,0.0144,0.0092,0,0,0,0,0.0053,0
0.5,0.0342,0.0527,0.0095,0,0.0591,0,0,0,0.0587,0.1069,0,0.0059,0,0.0372,0.0429,0.0351,0.0198,0.0386,0,0,0.0387,0.0603,0.0688,0.0158,0.095,0.033,0,0.0131,0,0.004,0.0074,0.0051,0,0.0568,0.0293,0,0,0,0.0001,0.0152,0
0.58,0.0788,0.1257,0.0289,0,0.1269,0,0,0,0.1652,0.2363,0,0.0157,0.0206,0.0726,0.0904,0.0835,0.0441,0.0824,0,0,0.0953,0.3371,0.1404,0.0363,0.1859,0.077,0,0.028,0,0.0156,0.0185,0.0174,0.0001,0.1605,0.0716,0,0,0.0001,0.0005,0.0346,0
0.67,0.1525,0.2495,0.0703,0,0.2313,0,0,0,0.3621,0.4386,0,0.0346,0.144,0.1229,0.1634,0.1658,0.0837,0.1499,0,0,0.1934,0.7263,0.2451,0.0704,0.308,0.1516,0.2013,0.0366,0,0.0419,0.0386,0.0458,0.0016,0.3628,0.1481,0,0,0.0003,0.0016,0.0665,0
0.75,0.2604,0.4339,0.1455,0,0.3745,0,0,0,0.6642,0.7173,0.4097,0.0665,0.3108,0.1878,0.2647,0.2878,0.141,0.2432,0,0.0085,0.3398,1.1962,0.3815,0.121,0.4505,0.263,0.6228,0.0768,0,0.091,0.0708,0.101,0.0075,0.6989,0.2744,0,0,0.0008,0.0046,0.1123,0
0.83,0.4039,0.6822,0.2665,0,0.5546,0,0,0,1.0658,1.0664,0.9367,0.1149,0.5126,0.2656,0.3949,0.4497,0.2166,0.362,0.0397,0.0482,0.535,1.8092,0.5437,0.1899,0.5991,0.4138,1.0704,0.2238,0.0019,0.172,0.1175,0.1952,0.0233,1.1942,0.4708,0,0,0.0021,0.0111,0.1713,0
0.92,0.5807,0.9914,0.4441,0.0046,0.7663,0,0,0,1.5424,1.4717,1.4646,0.183,0.7405,0.354,0.5525,0.6462,0.3092,0.5044,0.1439,0.1359,0.7775,2.5619,0.7234,0.2778,0.7411,0.6025,1.5047,0.5367,0.0182,0.2928,0.1803,0.3412,0.0573,1.9397,0.7574,0,0,0.0047,0.0236,0.2407,0.2161
