Alpha:,1,Beta:,10,m:,0.6
SubCat,3,32,4,5,6,7,38,37,10,11,15,39,19,40,18,34,41,35,20,17,16,13,23,24,26,28,29,27,25,22,30,36,31,21,14,12,9,8,1,33,2
Frac Urbanized,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Area,0.87,1.539,2.011,0.736,0.967,0.484,0.185,0.259,1.25,1.468,1.085,1.183,0.742,0.429,0.558,0.661,0.43,0.902,1.7,0.815,0.687,1.356,0.557,1.069,0.308,0.878,0.885,0.176,0.892,1.899,0.546,2.956,1.672,3.108,1.891,1.197,1.191,1.399,1.871,0.208,1.767
Time (hours),Q_3,Q_32,Q_4,Q_5,Q_6,Q_7,Q_38,Q_37,Q_10,Q_11,Q_15,Q_39,Q_19,Q_40,Q_18,Q_34,Q_41,Q_35,Q_20,Q_17,Q_16,Q_13,Q_23,Q_24,Q_26,Q_28,Q_29,Q_27,Q_25,Q_22,Q_30,Q_36,Q_31,Q_21,Q_14,Q_12,Q_9,Q_8,Q_1,Q_33,Q_2
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.08,0.0007,0.0008,0.0002,0.0002,0.0014,0,0,0.0001,0.0002,0.0014,0.0001,0.0002,0.0003,0.0029,0.0014,0.0003,0.0006,0.0015,0.0001,0.0001,0.0002,0.0006,0.0018,0.0009,0.0013,0.0006,0.0006,0.0009,0.0003,0.0006,0.0002,0.0002,0,0.0005,0.0008,0.0001,0.0001,0,0,0.0002,0.0002
0.17,0.075,0.0913,0.0197,0.0234,0.1523,0.001,0.0056,0.0074,0.0277,0.1606,0.0056,0.0277,0.0338,0.1673,0.1277,0.0378,0.0566,0.1562,0.0074,0.0075,0.0265,0.0672,0.1365,0.098,0.0803,0.0694,0.0712,0.047,0.0311,0.0626,0.0234,0.0181,0.0037,0.0569,0.0842,0.0134,0.0082,0.0012,0.0032,0.0191,0.0225
0.25,0.7294,0.9967,0.2379,0.2646,1.3273,0.0122,0.0563,0.0874,0.3276,1.5612,0.0682,0.3303,0.3625,1.0913,0.993,0.3873,0.4582,1.3282,0.09,0.0907,0.2898,0.7453,1.0047,0.9599,0.5603,0.6483,0.6637,0.3134,0.3517,0.7373,0.247,0.2193,0.0444,0.6798,0.966,0.1621,0.0991,0.0144,0.0395,0.1628,0.2681
0.33,2.3028,3.5276,1.082,0.9929,3.7007,0.0566,0.1914,0.3556,1.4326,4.8488,0.3124,1.3389,1.2807,2.4059,2.4972,1.3026,1.2377,3.6143,0.4126,0.4109,1.0486,2.7033,2.4428,3.0347,1.3315,1.9917,2.0323,0.7323,1.3172,2.9225,0.8624,1.0069,0.2056,2.9821,3.6463,0.7201,0.451,0.0673,0.1833,0.4629,1.1953
0.42,4.0733,6.6898,2.8343,2.0256,5.9333,0.1614,0.3736,0.779,3.5802,8.2892,0.8702,2.9359,2.4822,3.3076,3.75,2.4341,2.0266,5.6984,1.1508,1.121,2.0754,5.2667,3.6308,5.3279,1.9676,3.5338,3.5963,1.0812,2.6722,6.2027,1.67,2.7967,0.5827,7.3053,7.3194,1.796,1.2436,0.1934,0.5211,0.7938,3.1902
0.5,5.5209,9.3728,5.1824,3.0559,7.4975,0.3514,0.5637,1.209,6.1778,10.8029,1.8303,4.6225,3.6056,3.8899,4.591,3.4542,2.6886,7.1316,2.4285,2.214,3.0671,7.5563,4.4719,7.1396,2.4393,4.8863,4.963,1.3543,3.9957,9.4116,2.4435,5.6362,1.2571,12.3455,10.6425,3.1281,2.5642,0.4249,1.1293,1.093,6.1854
0.58,7.2397,12.2545,7.9022,4.2392,9.5402,0.6623,0.81,1.6581,8.7279,13.711,3.2494,6.4856,4.9036,4.7968,5.8163,4.66,3.593,9.0538,4.417,3.551,4.2167,10.0366,5.7091,9.2563,3.1124,6.5906,6.6873,1.7325,5.4885,12.7641,3.3638,9.2702,2.3567,17.6451,14.0997,4.6581,4.4012,0.8151,2.1294,1.4982,9.7426
0.67,7.6384,13.5693,10.2281,5.0389,9.1659,1.0482,0.9642,1.9651,10.2988,14.0034,4.707,7.8818,5.6137,3.9626,5.2407,5.1953,3.546,8.5603,6.7066,4.6737,4.9177,11.3483,5.0886,9.6876,2.7624,7.0165,7.1003,1.5394,6.4574,14.9549,3.8789,12.6294,3.8015,21.5238,16.0663,5.9706,6.1237,1.3539,3.46,1.5566,12.4429
