Index,Area,L,Sc,N,HL,HS,k,d,I,UL,UM,UH,UF
1,0.10835,0.39663,0.00107,0.03,0.18763,0.01564,0.21637,-0.16582,0.2,0,0,0,0
2,1.0211,2.43877,0.0005,0.03,0.28576,0.01063,0.63322,-2.10205,0.2,0,0,0,0
3,0.15193,0.5882,0.00074,0.03,0.14138,0.01227,0.80597,-3.00669,0.2,0,0,0,0
4,0.35928,0.74563,0.00088,0.03,0.33801,0.01459,0.29538,-0.45691,0.2,0,0,0,0
5,1.1319,2.11729,0.0005,0.03,0.40881,0.0073,0.43504,-1.23924,0.2,0,0,0,0
6,0.37103,0.74456,0.00321,0.03,0.2595,0.0064,0.18296,-0.23599,0.2,0,0,0,0
7,0.70113,1.93344,0.0005,0.03,0.20466,0.01943,0.31203,-0.49526,0.2,0,0,0,0
8,0.58025,0.7229,0.0005,0.03,0.71698,0.00418,0.40442,-0.84717,0.2,0,0,0,0
9,0.2462,0.97533,0.0034,0.03,0.16255,0.02007,0.36991,-0.56909,0.2,0,0,0,0
10,0.67153,1.35303,0.0005,0.03,0.45389,0.00847,0.21939,-0.08859,0.2,0,0,0,0
11,0.44315,0.97876,0.00443,0.03,0.37029,0.0038,0.44142,-0.75184,0.2,0,0,0,0
12,1.26188,3.12877,0.0005,0.03,0.37873,0.01183,0.38235,-0.44259,0.2,0,0,0,0
13,1.48483,3.15661,0.00412,0.03,0.28402,0.02194,0,0,0.2,0,0,0,0
14,0.37168,1.07726,0.0077,0.03,0.35236,0.01413,0.20831,-0.05623,0.2,0,0,0,0
15,0.73128,1.96386,0.002,0.03,0.36904,0.0041,0.1865,-0.40614,0.2,0,0,0,0
16,0.16685,0.83462,0.00487,0.03,0.11173,0.01831,0.38298,-0.37931,0.2,0,0,0,0
17,0.40433,0.8669,0.00435,0.03,0.36228,0.00819,0.31427,-0.29756,0.2,0,0,0,0
18,2.45864,2.45978,0.00423,0.03,1.19957,0.00475,0.58178,-0.13486,0.2,0,0,0,0
