Dur,0.63,0.5,0.39,0.2,0.1,0.05,0.02,0.01,0.005,0.002,0.001,0.0005
10,16.4,18.5,16.4,25.3,30.1,35.0,41.6,46.8,51.5,59.2,65.3,71.5
15,20.6,23.3,20.6,31.8,37.8,43.9,52.1,58.5,64.4,73.9,81.5,89.3
20,23.9,26.9,23.9,36.9,43.9,51.0,60.7,68.3,75.1,86.2,95.0,104
25,26.5,29.9,26.5,41.0,49.0,57.0,68.0,76.8,84.5,97.0,107,117
30,28.7,32.4,28.7,44.6,53.3,62.2,74.5,84.4,92.9,107,117,128
45,33.7,38.2,33.7,53.0,63.7,74.8,90.6,104,114,131,144,157
60,37.4,42.4,37.4,59.3,71.7,84.7,103,119,131,150,165,181
90,43.0,48.9,43.0,69.0,84.1,100,124,144,158,181,199,218
120,47.3,53.9,47.3,76.5,93.7,112,140,163,180,206,227,248
180,54.1,61.7,54.1,88.3,109,131,164,193,213,244,269,294
270,62.2,71.0,62.2,102,126,153,192,225,248,286,315,346
360,68.9,78.8,68.9,114,141,170,214,251,276,318,351,385
540,80.2,91.9,80.2,133,164,199,248,289,318,367,405,445
720,89.8,103,89.8,149,184,222,275,319,351,404,446,491
1080,106,122,106,175,216,259,317,365,401,462,509,559
1440,119,137,119,197,242,289,351,401,442,507,558,611
1800,130,150,130,216,264,315,380,431,465,527,574,622
2160,140,162,140,233,284,336,404,457,491,553,599,646
2880,157,181,157,260,316,372,444,499,541,608,657,707
4320,180,208,180,298,361,423,502,561,623,702,763,824
5760,195,225,195,322,389,454,539,603,677,767,839,911
7200,204,236,204,337,406,474,563,630,709,807,885,964
8640,210,242,210,344,415,485,577,647,723,825,907,989
10080,212,244,212,347,418,490,584,656,725,828,911,992
