! Written by Qhydro Python Script
Time (hour),E0,E1,E2,E3,E4,E5,E6,E7,E8,E9
0,0,0,0,0,0,0,0,0,0,0
0.5,6.6181,4.2145,2.7987,9.6802,2.2719,26.0115,4.4121,37.6672,19.2946,10.6021
1.0,12.5777,19.8872,5.3011,8.89,8.8241,70.3627,18.208,18.8336,30.7528,13.2691
1.5,9.6144,19.13,6.7827,9.9436,14.4874,22.3896,28.6126,27.1639,46.4914,12.7753
2.0,9.6144,30.1601,5.7291,8.9558,18.7678,8.3961,16.2983,3.128,14.0923,14.4874
2.5,13.3021,27.4931,8.7254,7.4742,22.2908,3.5889,17.0556,0.0,26.2749,8.3303
3.0,10.3717,34.5063,7.0461,8.4949,25.4188,1.1853,12.3472,0.0,0.6914,9.2851
3.5,10.3717,17.7471,9.318,9.3839,15.0801,0.3951,25.4847,0.0,0.0,7.54
4.0,19.986,21.4348,9.8448,9.2522,5.4986,3.1938,17.1215,0.0,0.0,8.3303
4.5,28.1187,9.6473,12.5448,10.7338,9.5814,9.1863,19.6897,0.0,0.7902,10.3387
5.0,11.096,9.6802,14.1911,9.9107,12.4789,23.5749,14.685,2.0743,0.7573,9.4168
5.5,7.4083,8.8571,17.5166,10.3058,3.0292,17.1873,17.9775,8.3632,4.2804,12.1167
6.0,8.89,4.445,18.8665,10.7668,3.8523,9.5814,14.9484,38.6879,0.2963,11.1619
6.5,7.4083,1.8439,21.2372,11.2936,7.9022,13.1704,6.5193,7.3096,0.0,10.6351
7.0,29.6004,4.873,30.0943,14.9154,5.1035,14.7837,5.8279,14.6191,0.0,11.7545
7.5,46.6231,5.9596,46.0304,16.6934,2.0743,8.001,6.9474,27.1639,6.1571,9.1205
8.0,14.7837,3.7206,43.6598,17.8788,1.4817,3.5889,10.0424,37.6343,0.0329,10.207
8.5,8.1327,10.7009,12.0509,23.4762,2.9963,2.7987,11.8204,24.0359,0.0,12.446
9.0,8.1327,9.9436,8.001,24.3322,2.0743,2.0085,13.5984,17.78,19.1629,15.541
9.5,7.4083,18.8007,7.4413,20.6116,36.9758,13.1704,12.2814,11.4911,45.4707,27.8882
10.0,5.1694,15.2447,7.3096,17.9446,67.3006,18.7678,9.5156,17.78,56.6655,30.0614
10.5,14.0594,5.9925,7.6388,10.7009,26.6041,17.9775,11.2277,7.3096,39.972,20.6116
11.0,19.986,15.1459,9.779,24.7932,17.6154,17.1873,14.4545,8.3632,18.0763,24.7274
11.5,11.8533,19.0641,9.0546,18.3727,13.1045,15.9691,15.541,8.3632,0.0,15.4093
12.0,8.1327,10.7668,8.2973,14.4545,4.445,6.7827,4.6426,11.4911,0.0,13.2033
12.5,0,0,0,0,0,0,0,0,0,0
