EventID,Region,Region (source),Duration,TimeStep,Original Burst Depth (mm),Area,AspectRatio,Rotation,Burst Start Time,Lat,Long
1,East Coast (South),East Coast (South),720,30,304.244,100,1.5,2.3561945,2282,-34.3375,150.8625
2,East Coast (South),East Coast (South),720,30,277.417,100,1.5,0,1072,-34.3875,150.7875
3,East Coast (South),East Coast (South),720,30,270.677,100,3.6,2.3561945,1700,-34.3875,150.8375
4,East Coast (South),East Coast (South),720,30,247.475,100,3.6,0.7853982,1212,-28.5125,153.3375
5,East Coast (South),East Coast (South),720,30,234.758,100,1.5,1.5707963,1231,-34.2625,150.7875
6,East Coast (South),East Coast (South),720,30,232.798,100,3.6,0.7853982,2638,-28.4125,153.3375
7,East Coast (South),East Coast (South),720,30,226.621,100,1.5,0.7853982,1389,-28.3875,153.1875
8,East Coast (South),East Coast (South),720,30,224.341,100,1.5,1.5707963,1190,-33.8375,151.2375
9,East Coast (South),East Coast (South),720,30,221.553,100,1.5,1.5707963,1311,-34.5625,150.5875
10,East Coast (South),East Coast (South),720,30,204.572,100,1.5,0,1767,-33.4125,151.3125
11,East Coast (South),East Coast (South),720,30,373.367,200,2.3,0.7853982,3120,-28.2125,153.4875
12,East Coast (South),East Coast (South),720,30,271.643,200,2.3,2.3561945,2282,-34.3375,150.8625
13,East Coast (South),East Coast (South),720,30,258.782,200,3.6,2.3561945,1701,-34.4375,150.7875
14,East Coast (South),East Coast (South),720,30,240.171,200,2.3,2.3561945,471,-28.2875,153.2125
15,East Coast (South),East Coast (South),720,30,236.269,200,2.3,0,1212,-28.5125,153.3875
16,East Coast (South),East Coast (South),720,30,231.294,200,2.3,0.7853982,2638,-28.3875,153.3375
17,East Coast (South),East Coast (South),720,30,224.413,200,1.5,0,628,-28.2375,153.2875
18,East Coast (South),East Coast (South),720,30,223.219,200,2.3,2.3561945,2441,-34.3125,150.8375
19,East Coast (South),East Coast (South),720,30,217.254,200,2.3,2.3561945,1071,-34.3375,150.8125
20,East Coast (South),East Coast (South),720,30,214.485,200,2.3,1.5707963,1190,-33.8375,151.1875
21,East Coast (South),East Coast (South),720,30,351.02,500,2.3,0,3120,-28.3125,153.5125
22,East Coast (South),East Coast (South),720,30,226.702,500,2.3,2.3561945,1701,-34.4125,150.7875
23,East Coast (South),East Coast (South),720,30,225.266,500,2.3,0.7853982,2637,-28.4125,153.4125
24,East Coast (South),East Coast (South),720,30,218.024,500,2.3,0.7853982,443,-28.2625,153.2875
25,East Coast (South),East Coast (South),720,30,214.825,500,2.3,2.3561945,628,-28.2625,153.2875
26,East Coast (South),East Coast (South),720,30,213.185,500,1.5,0,2282,-34.3375,150.8375
27,East Coast (South),East Coast (South),720,30,207.875,500,2.3,0,1212,-28.4875,153.3875
28,East Coast (South),East Coast (South),720,30,193.224,500,3.6,2.3561945,1311,-34.4125,150.7125
29,East Coast (South),East Coast (South),720,30,187.712,500,2.3,2.3561945,1208,-28.4125,153.4625
30,East Coast (South),East Coast (South),720,30,187.371,500,2.3,2.3561945,2442,-34.3375,150.7875
