Event ID,Region,Region (source),Burst Duration (min),Burst Loading,Original Burst Depth (mm),AEP Window,AEP (source) (%),Burst Start Date,Burst End Date,DB Event Reference No.,DB Pluviograph Reference No.,Offical Gauge,Lat,Long
4380,East Coast (South),East Coast (South),10,1,15.5,frequent,14.4679,3/25/2009 17:45,3/25/2009 17:50,113650,1828,qcd_563064_233,-32.2375,150.6306
4382,East Coast (South),East Coast (South),10,1,18.8,frequent,14.4924,12/28/1999 17:05,12/28/1999 17:10,39777,517,qcd_061250,-32.6296,151.5919
4384,East Coast (South),East Coast (South),10,1,16.8,frequent,14.5144,2/4/2005 9:30,2/4/2005 9:35,42925,556,qcd_068102,-34.4869,150.4019
4385,East Coast (South),East Coast (South),10,2,18.5,frequent,15.6473,3/27/1999 22:30,3/27/1999 22:35,114063,1835,qcd_563079_231,-33.7944,150.5083
4386,East Coast (South),East Coast (South),10,2,11,frequent,47.6798,4/28/1993 14:05,4/28/1993 14:10,113366,1824,qcd_563056_231,-34.0333,150.2153
4387,East Coast (South),East Coast (South),10,2,10,frequent,52.1369,5/3/2007 9:35,5/3/2007 9:40,112822,1817,qcd_563048_231,-33.4333,150.05
4388,East Coast (South),East Coast (South),10,2,10,frequent,61.856,12/26/1993 13:45,12/26/1993 13:50,120789,1949,qcd_568168_233,-34.1235,150.7384
4389,East Coast (South),East Coast (South),10,3,22.6,frequent,14.4213,11/26/2001 19:10,11/26/2001 19:15,61080,960,qcd_203010_77,-28.7365,153.164
4390,East Coast (South),East Coast (South),10,3,18.5,frequent,14.4226,12/14/1998 17:00,12/14/1998 17:05,62833,1000,qcd_213005_77,-33.7982,150.9825
4391,East Coast (South),East Coast (South),10,3,18.41,frequent,40.3161,3/7/1973 14:30,3/7/1973 14:35,12454,493,qcd_059067,-30.3439,152.7128
4369,East Coast (South),East Coast (South),10,1,21.44,intermediate,14.4035,12/21/1979 19:35,12/21/1979 19:40,36083,476,qcd_058026,-28.4414,152.8296
4370,East Coast (South),East Coast (South),10,1,29,intermediate,4.6567,12/10/2008 15:50,12/10/2008 15:55,38062,497,qcd_060085,-31.3865,152.2482
4372,East Coast (South),East Coast (South),10,1,18.2,intermediate,10.8076,12/5/2003 13:55,12/5/2003 14:00,39020,506,qcd_061158,-32.5067,151.3779
4373,East Coast (South),East Coast (South),10,2,20.6,intermediate,7.5877,7/1/2010 12:55,7/1/2010 13:00,35740,471,qcd_057104,-31.2739,151.9655
4374,East Coast (South),East Coast (South),10,2,24,intermediate,4.9848,12/6/1994 13:30,12/6/1994 13:35,114850,1847,qcd_566037_233,-33.8085,151.0907
4375,East Coast (South),East Coast (South),10,3,26.51,intermediate,5.4868,1/31/1966 15:40,1/31/1966 15:45,36685,484,qcd_058116,-28.45,153
4376,East Coast (South),East Coast (South),10,3,22.91,intermediate,12.4842,3/15/1955 4:40,3/15/1955 4:45,38474,502,qcd_061078,-32.7932,151.8359
4377,East Coast (South),East Coast (South),10,3,21.69,intermediate,5.3205,12/5/1959 14:50,12/5/1959 14:55,39674,516,qcd_061240,-32.9667,151.1333
4378,East Coast (South),East Coast (South),10,1,22,intermediate,7.2234,2/26/2008 16:25,2/26/2008 16:30,117210,1888,qcd_567108_231,-33.3846,150.9867
4379,East Coast (South),East Coast (South),10,1,23.58,intermediate,5.0066,1/29/1980 14:05,1/29/1980 14:10,39134,508,qcd_061174,-32.9,151.2667
4354,East Coast (South),East Coast (South),10,1,35.5,rare,0.3639,12/14/1986 23:20,12/14/1986 23:25,114277,1840,qcd_566018_233,-34.0308,151.1643
4355,East Coast (South),East Coast (South),10,1,38.48,rare,0.1482,3/8/2003 18:40,3/8/2003 18:45,112071,1809,qcd_563036_231,-34.1394,150.3106
4356,East Coast (South),East Coast (South),10,1,56.5,rare,0.1649,6/15/1997 19:35,6/15/1997 19:40,134779,2150,qcd_bateaubay_58,-33.3817,151.4767
4357,East Coast (South),East Coast (South),10,3,26.36,rare,0.9998,2/19/2007 15:50,2/19/2007 15:55,120662,1946,qcd_568163_231,-34.4261,150.1903
