Index,Area,L,Sc,N,HL,HS,k,d,I,UL,UM,UH,UF
1,0.20053,0.09157,0.00717,0.03,0.47419,0.00942,0.44595,-0.88616,0.0,0.0,0.0,0.0,0.0
2,0.17,0.70119,0.01458,0.03,0.14575,0.02664,0.16041,0.13684,0.0,0.0,0.0,0.0,0.0
3,0.22403,0.50906,0.00596,0.03,0.26843,0.03485,0.85372,-2.77079,0.0,0.0,0.0,0.0,0.0
4,0.25808,0.36713,0.00318,0.03,0.27625,0.05302,0,0,0.0,0.0,0.0,0.0,0.0
5,0.122,0.63941,0.01648,0.03,0.1168,0.07317,0,0,0.0,0.0,0.0,0.0,0.0
6,0.23178,0.55563,0.00699,0.03,0.24557,0.03502,0,0,0.0,0.0,0.0,0.0,0.0
7,0.219,1.16211,0.02224,0.03,0.09072,0.11332,0,0,0.0,0.0,0.0,0.0,0.0
8,0.24938,0.81462,0.02034,0.03,0.18306,0.11587,0,0,0.0,0.0,0.0,0.0,0.0
9,0.20608,0.49441,0.08789,0.03,0.20169,0.16755,0,0,0.0,0.0,0.0,0.0,0.0
10,0.16835,0.35814,0.17074,0.03,0.22881,0.26873,0,0,0.0,0.0,0.0,0.0,0.0
11,0.19308,0.91033,0.00894,0.03,0.09228,0.0567,0,0,0.0,0.0,0.0,0.0,0.0
12,0.20145,1.25761,0.00234,0.03,0.12507,0.03073,0,0,0.0,0.0,0.0,0.0,0.0
13,0.0268,0.10364,0.00688,0.03,0.14039,0.07173,0,0,0.0,0.0,0.0,0.0,0.0
14,0.21825,0.87412,0.00384,0.03,0.29535,0.03493,0,0,0.0,0.0,0.0,0.0,0.0
15,0.22038,0.63491,0.03037,0.03,0.28711,0.05762,0,0,0.0,0.0,0.0,0.0,0.0
16,0.26433,0.3942,0.00995,0.03,0.25579,0.07308,0,0,0.0,0.0,0.0,0.0,0.0
17,0.201,0.37749,0.01763,0.03,0.25753,0.10625,0,0,0.0,0.0,0.0,0.0,0.0
18,0.16838,0.5337,0.07064,0.03,0.1701,0.15199,0,0,0.0,0.0,0.0,0.0,0.0
19,0.20063,0.41542,0.02951,0.03,0.22248,0.14336,0,0,0.0,0.0,0.0,0.0,0.0
20,0.20193,0.74512,0.147,0.03,0.17431,0.2768,0,0,0.0,0.0,0.0,0.0,0.0
21,0.10185,0.46284,0.23503,0.03,0.17055,0.30745,0,0,0.0,0.0,0.0,0.0,0.0
22,0.27805,0.37663,0.09285,0.03,0.37577,0.20817,0,0,0.0,0.0,0.0,0.0,0.0
23,0.19895,0.72291,0.21454,0.03,0.20967,0.28203,0,0,0.0,0.0,0.0,0.0,0.0
24,0.20175,1.67217,0.00451,0.03,0.07497,0.04765,0,0,0.0,0.0,0.0,0.0,0.0
25,0.21573,1.05897,0.00679,0.03,0.09301,0.09992,0,0,0.0,0.0,0.0,0.0,0.0
26,0.2081,0.26885,0.01361,0.03,0.25856,0.06491,0,0,0.0,0.0,0.0,0.0,0.0
27,0.26758,0.50148,0.01249,0.03,0.2027,0.09577,0,0,0.0,0.0,0.0,0.0,0.0
28,0.12295,0.64477,0.09451,0.03,0.10648,0.16323,0,0,0.0,0.0,0.0,0.0,0.0
29,0.20433,1.43489,0.00732,0.03,0.12081,0.05031,0,0,0.0,0.0,0.0,0.0,0.0
30,0.20448,0.94104,0.02898,0.03,0.15174,0.15013,0,0,0.0,0.0,0.0,0.0,0.0
31,0.15353,0.90184,0.15717,0.03,0.13017,0.21102,0,0,0.0,0.0,0.0,0.0,0.0
32,0.2305,0.43956,0.00977,0.03,0.30933,0.06789,0,0,0.0,0.0,0.0,0.0,0.0
33,0.20178,0.41042,0.15201,0.03,0.25276,0.28127,0,0,0.0,0.0,0.0,0.0,0.0
34,0.11193,0.72341,0.30165,0.03,0.11251,0.30597,0,0,0.0,0.0,0.0,0.0,0.0
35,0.2013,0.31228,0.01733,0.03,0.30752,0.07231,0,0,0.0,0.0,0.0,0.0,0.0
36,0.2147,0.27849,0.18321,0.03,0.35417,0.26365,0,0,0.0,0.0,0.0,0.0,0.0
37,0.12918,0.54391,0.27071,0.03,0.18076,0.28932,0,0,0.0,0.0,0.0,0.0,0.0
38,0.21123,0.51613,0.03372,0.03,0.21896,0.14846,0,0,0.0,0.0,0.0,0.0,0.0
39,0.22465,0.16243,0.16121,0.03,0.40406,0.20889,0,0,0.0,0.0,0.0,0.0,0.0
40,0.22643,0.14778,0.11227,0.03,0.47264,0.16114,0,0,0.0,0.0,0.0,0.0,0.0
41,0.26948,0.67569,0.17297,0.03,0.28529,0.22266,0,0,0.0,0.0,0.0,0.0,0.0
42,0.20503,0.04828,0.17365,0.03,0.48774,0.15714,0,0,0.0,0.0,0.0,0.0,0.0
43,0.33803,0.89376,0.12443,0.03,0.2774,0.23098,0,0,0.0,0.0,0.0,0.0,0.0
