Index,Area,L,Sc,N,HL,HS,k,d,I,UL,UM,UH,UF
1,0.4267,0.45006,0.0039,0.03,0.70665,0.02286,0.98386,-3.19348,0.0,0.0,0.0,0.0,0.0
2,0.33113,0.21764,0.01546,0.03,0.37329,0.04208,0.31888,-0.25259,0.0,0.0,0.0,0.0,0.0
3,0.12795,0.56163,0.04214,0.03,0.10045,0.17265,0,0,0.0,0.0,0.0,0.0,0.0
4,0.11398,0.45577,0.06481,0.03,0.10592,0.1653,0,0,0.0,0.0,0.0,0.0,0.0
5,0.28793,0.62699,0.01524,0.03,0.29051,0.07626,0,0,0.0,0.0,0.0,0.0,0.0
6,0.27638,0.58613,0.03692,0.03,0.24158,0.1013,0,0,0.0,0.0,0.0,0.0,0.0
7,0.21558,0.79927,0.00451,0.03,0.11215,0.0342,0,0,0.0,0.0,0.0,0.0,0.0
8,0.09448,0.18485,0.00629,0.03,0.26281,0.03379,0,0,0.0,0.0,0.0,0.0,0.0
9,0.4419,0.94741,0.02091,0.03,0.24569,0.10714,0,0,0.0,0.0,0.0,0.0,0.0
10,0.30145,0.94619,0.00508,0.03,0.21744,0.07408,0,0,0.0,0.0,0.0,0.0,0.0
11,0.45545,0.71462,0.01675,0.03,0.59542,0.06072,0,0,0.0,0.0,0.0,0.0,0.0
12,0.55695,0.88669,0.00257,0.03,0.62283,0.02576,0,0,0.0,0.0,0.0,0.0,0.0
13,0.26938,1.10933,0.08377,0.03,0.12405,0.18602,0,0,0.0,0.0,0.0,0.0,0.0
14,0.61508,1.26504,0.02331,0.03,0.40819,0.06611,0,0,0.0,0.0,0.0,0.0,0.0
15,0.12845,0.42835,0.10027,0.03,0.12168,0.21175,0,0,0.0,0.0,0.0,0.0,0.0
16,0.42138,0.70876,0.08576,0.03,0.31981,0.19146,0,0,0.0,0.0,0.0,0.0,0.0
17,0.2486,0.44713,0.00492,0.03,0.29256,0.05018,0,0,0.0,0.0,0.0,0.0,0.0
18,0.45545,1.3654,0.04296,0.03,0.16014,0.14878,0,0,0.0,0.0,0.0,0.0,0.0
19,0.24585,0.6332,0.00541,0.03,0.23596,0.0389,0,0,0.0,0.0,0.0,0.0,0.0
20,0.2783,0.50027,0.00898,0.03,0.23611,0.15546,0,0,0.0,0.0,0.0,0.0,0.0
21,0.20458,0.78205,0.06029,0.03,0.14016,0.13988,0,0,0.0,0.0,0.0,0.0,0.0
22,0.38365,0.25849,0.01726,0.03,0.66419,0.12919,0,0,0.0,0.0,0.0,0.0,0.0
23,0.42553,0.62391,0.09236,0.03,0.51251,0.21106,0,0,0.0,0.0,0.0,0.0,0.0
24,0.22433,0.54648,0.14201,0.03,0.23946,0.16603,0,0,0.0,0.0,0.0,0.0,0.0
25,0.14008,0.60906,0.18306,0.03,0.16276,0.19555,0,0,0.0,0.0,0.0,0.0,0.0
26,0.36538,0.62305,0.08458,0.03,0.35967,0.19244,0,0,0.0,0.0,0.0,0.0,0.0
27,0.23183,0.91826,0.09828,0.03,0.09908,0.20424,0,0,0.0,0.0,0.0,0.0,0.0
28,0.11618,0.50835,0.15061,0.03,0.13442,0.22167,0,0,0.0,0.0,0.0,0.0,0.0
29,0.27748,0.75134,0.01356,0.03,0.18608,0.05983,0,0,0.0,0.0,0.0,0.0,0.0
30,0.32398,1.13433,0.00606,0.03,0.34607,0.0284,0,0,0.0,0.0,0.0,0.0,0.0
31,0.43853,1.30782,0.01929,0.03,0.14014,0.11039,0,0,0.0,0.0,0.0,0.0,0.0
32,0.15115,0.35335,0.0068,0.03,0.24828,0.06926,0,0,0.0,0.0,0.0,0.0,0.0
33,0.10023,0.55184,0.1064,0.03,0.09534,0.18724,0,0,0.0,0.0,0.0,0.0,0.0
34,0.32813,0.31556,0.01159,0.03,0.53885,0.03055,0,0,0.0,0.0,0.0,0.0,0.0
35,0.37025,0.75527,0.02059,0.03,0.20552,0.08781,0,0,0.0,0.0,0.0,0.0,0.0
36,0.19115,0.69199,0.02986,0.03,0.13521,0.18068,0,0,0.0,0.0,0.0,0.0,0.0
37,0.10153,0.47249,0.0519,0.03,0.08654,0.20385,0,0,0.0,0.0,0.0,0.0,0.0
38,0.19818,0.28192,0.00481,0.03,0.27523,0.05112,0,0,0.0,0.0,0.0,0.0,0.0
39,0.17148,0.71305,0.01564,0.03,0.13194,0.08697,0,0,0.0,0.0,0.0,0.0,0.0
40,0.46963,0.82033,0.05925,0.03,0.40301,0.14031,0,0,0.0,0.0,0.0,0.0,0.0
41,0.10558,0.53305,0.08596,0.03,0.0877,0.15179,0,0,0.0,0.0,0.0,0.0,0.0
42,0.121,0.60498,0.19507,0.03,0.15859,0.15748,0,0,0.0,0.0,0.0,0.0,0.0
43,0.16568,0.37971,0.11748,0.03,0.26754,0.17812,0,0,0.0,0.0,0.0,0.0,0.0
44,0.26893,0.65927,0.03849,0.03,0.18393,0.12333,0,0,0.0,0.0,0.0,0.0,0.0
45,0.10523,0.59048,0.10087,0.03,0.13986,0.13364,0,0,0.0,0.0,0.0,0.0,0.0
46,0.15653,0.65134,0.21011,0.03,0.10442,0.11947,0,0,0.0,0.0,0.0,0.0,0.0
47,0.15333,0.6322,0.0615,0.03,0.14585,0.11826,0,0,0.0,0.0,0.0,0.0,0.0
48,0.19165,0.62734,0.0184,0.03,0.12584,0.22421,0,0,0.0,0.0,0.0,0.0,0.0
49,0.44878,0.43249,0.01518,0.03,0.61218,0.09698,0,0,0.0,0.0,0.0,0.0,0.0
50,0.17573,0.90155,0.085,0.03,0.10669,0.14442,0,0,0.0,0.0,0.0,0.0,0.0
51,0.12098,0.50234,0.05279,0.03,0.10713,0.23072,0,0,0.0,0.0,0.0,0.0,0.0
52,0.15845,0.36249,0.07444,0.03,0.162,0.16849,0,0,0.0,0.0,0.0,0.0,0.0
