Index,Area,L,Sc,N,HL,HS,k,d,I,UL,UM,UH,UF
1,0.4267,0.45006,0.0039,0.03,0.65607,0.02165,0.98386,-3.19348,0.0,0.0,0.0,0.0,0.0
2,0.33113,0.21764,0.01546,0.03,0.3838,0.04686,0.31888,-0.25259,0.0,0.0,0.0,0.0,0.0
3,0.12795,0.56163,0.04214,0.03,0.09411,0.16635,0,0,0.0,0.0,0.0,0.0,0.0
4,0.11398,0.45577,0.06481,0.03,0.1142,0.15287,0,0,0.0,0.0,0.0,0.0,0.0
5,0.28793,0.62699,0.01524,0.03,0.31799,0.06526,0,0,0.0,0.0,0.0,0.0,0.0
6,0.27638,0.58613,0.03692,0.03,0.21483,0.0991,0,0,0.0,0.0,0.0,0.0,0.0
7,0.21558,0.79927,0.00451,0.03,0.13787,0.02789,0,0,0.0,0.0,0.0,0.0,0.0
8,0.09448,0.18485,0.00629,0.03,0.18609,0.03283,0,0,0.0,0.0,0.0,0.0,0.0
9,0.4419,0.94741,0.02091,0.03,0.20875,0.09768,0,0,0.0,0.0,0.0,0.0,0.0
10,0.30145,0.94619,0.00508,0.03,0.19621,0.08142,0,0,0.0,0.0,0.0,0.0,0.0
11,0.45545,0.71462,0.01675,0.03,0.64041,0.06063,0,0,0.0,0.0,0.0,0.0,0.0
12,0.55695,0.88669,0.00257,0.03,0.55369,0.02846,0,0,0.0,0.0,0.0,0.0,0.0
13,0.26938,1.10933,0.08377,0.03,0.11874,0.19839,0,0,0.0,0.0,0.0,0.0,0.0
14,0.61508,1.26504,0.02331,0.03,0.3933,0.06155,0,0,0.0,0.0,0.0,0.0,0.0
15,0.12845,0.42835,0.10027,0.03,0.14578,0.2156,0,0,0.0,0.0,0.0,0.0,0.0
16,0.42138,0.70876,0.08576,0.03,0.28014,0.19046,0,0,0.0,0.0,0.0,0.0,0.0
17,0.2486,0.44713,0.00492,0.03,0.38888,0.04737,0,0,0.0,0.0,0.0,0.0,0.0
18,0.45545,1.3654,0.04296,0.03,0.14138,0.1387,0,0,0.0,0.0,0.0,0.0,0.0
19,0.24585,0.6332,0.00541,0.03,0.2607,0.04042,0,0,0.0,0.0,0.0,0.0,0.0
20,0.2783,0.50027,0.00898,0.03,0.20556,0.15684,0,0,0.0,0.0,0.0,0.0,0.0
21,0.20458,0.78205,0.06029,0.03,0.13816,0.13281,0,0,0.0,0.0,0.0,0.0,0.0
22,0.38365,0.25849,0.01726,0.03,0.63843,0.13044,0,0,0.0,0.0,0.0,0.0,0.0
23,0.42553,0.62391,0.09236,0.03,0.43288,0.2066,0,0,0.0,0.0,0.0,0.0,0.0
24,0.22433,0.54648,0.14201,0.03,0.28083,0.17342,0,0,0.0,0.0,0.0,0.0,0.0
25,0.14008,0.60906,0.18306,0.03,0.14127,0.19129,0,0,0.0,0.0,0.0,0.0,0.0
26,0.36538,0.62305,0.08458,0.03,0.43064,0.19351,0,0,0.0,0.0,0.0,0.0,0.0
27,0.23183,0.91826,0.09828,0.03,0.12286,0.19924,0,0,0.0,0.0,0.0,0.0,0.0
28,0.11618,0.50835,0.15061,0.03,0.14358,0.22285,0,0,0.0,0.0,0.0,0.0,0.0
29,0.27748,0.75134,0.01356,0.03,0.20353,0.05952,0,0,0.0,0.0,0.0,0.0,0.0
30,0.32398,1.13433,0.00606,0.03,0.29042,0.02202,0,0,0.0,0.0,0.0,0.0,0.0
